หมายเลขออเดอร์ออนไลน์,ชื่อร้านค้า,เวลาที่สั่งซื้อ,บัญชีร้านค้า,หมายเลขใบชำระเงิน,COD,ช่องทางชำระเงิน,เวลาชำระเงิน,หมายเหตุใบสั่งซื้อ,ข้อความจากร้านค้า,ค่าขนส่ง,จำนวนเงินที่ต้องชำระ,ผู้รับสินค้า,นามสกุลผู้รับสินค้า,หมายเลขโทรศัพท์,หมายเลขมือถือ,สถานที่,ภูมิภาค,อำเภอ,จังหวัด,รหัสไปรษณีย์,ประเทศ,รับสินค้าที่ร้านหรือไม่,รหัสสินค้าบนแพลตฟอร์ม,รหัสสินค้าในระบบ,ชื่อสินค้า,สีและรูปแบบ,จำนวน,ราคาสินค้าต่อหน่วย,บริษัทขนส่ง,หมายเลขขนส่ง,เวลาส่งสินค้า,สถานะ,พนักงานขาย,หมายเหตุออฟไลน์,รูปแบบคำสั่งซื้อ,รูปแบบการชำระ
ORD-1761533589243,N/A,27/10/2568 02:53:09,N/A,,400,COD,,,,0,400,Mana,Jaidee,0812345678,0812345678,123 Sukhumvit Rd,Khlong Toei,Khlong Toei,Bangkok,10110,ไทย,ไม่,73,73,ปุ๋ย แสงราชสีห์,,2,200,,,28/10/2568,Pending,Somsri Telesale,,ออนไลน์,COD
ORD-1761281352625,N/A,24/10/2568 04:49:13,N/A,,0,Transfer,,,,0,1750,สมหญิง,รักดี,0823456789,0823456789,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ไทย,ไม่,68,68,📦 ปุ๋ย แสงราชสีห์ ซื้อ 4 แถม 1,,1,1750,,,25/10/2568,Pending,Somchai Admin,,ออนไลน์,Transfer
ORD-1761281352625,N/A,24/10/2568 04:49:13,N/A,,0,Transfer,,,,0,1750,สมหญิง,รักดี,0823456789,0823456789,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ไทย,ไม่,69,69,ปุ๋ย แสงราชสีห์,,4,200,,,25/10/2568,Pending,Somchai Admin,,ออนไลน์,Transfer
ORD-1761281352625,N/A,24/10/2568 04:49:13,N/A,,0,Transfer,,,,0,1750,สมหญิง,รักดี,0823456789,0823456789,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ไทย,ไม่,70,70,ปุ๋ย แสงราชสีห์ (ของแถม),,1,0,,,25/10/2568,Pending,Somchai Admin,,ออนไลน์,Transfer
ORD-1760950795424,N/A,20/10/2568 08:59:55,N/A,,120,COD,,,,0,120,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,64,64,📦 ชุดทดลองเมล็ด 3 แถม 1,,1,120,,,21/10/2568,Pending,Somsri Telesale,,ออนไลน์,COD
ORD-1760950795424,N/A,20/10/2568 08:59:55,N/A,,120,COD,,,,0,120,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,65,65,เมล็ดพันธุ์ A,,3,120,,,21/10/2568,Pending,Somsri Telesale,,ออนไลน์,COD
ORD-1760950795424,N/A,20/10/2568 08:59:55,N/A,,120,COD,,,,0,120,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,66,66,เมล็ดพันธุ์ A (ของแถม),,1,0,,,21/10/2568,Pending,Somsri Telesale,,ออนไลน์,COD
ORD-1760950639386,N/A,20/10/2568 08:57:19,N/A,,0,Transfer,,,,0,120,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,63,63,เมล็ดพันธุ์ A,,1,120,,120,21/10/2568,Pending,Somsri Telesale,,ออนไลน์,Transfer
ORD-1759130412537,N/A,29/9/2568 07:20:13,N/A,,520,COD,,,,0,520,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,18,18,กางเกงลายเสื้อดาว,,1,20,,,30/9/2568,Pending,Somsri Telesale,,ออนไลน์,COD
ORD-1759130412537,N/A,29/9/2568 07:20:13,N/A,,520,COD,,,,0,520,วิชัย,เก่งมาก,0834567890,0834567890,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ไทย,ไม่,19,19,เสื้อกันหนาวสีแดง,,1,500,,,30/9/2568,Pending,Somsri Telesale,,ออนไลน์,COD
